city,item,course_type,column,why_not
bangalore,chicken_chukka_semi_gravy,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_chukka_semi_gravy,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_clear_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_clear_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_coconut_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_coconut_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_coconut_fry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_coconut_fry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_coriander_pesto_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_do_pyaza,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_donne_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_finger,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_fricassee,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_fried_kabab,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_fried_kabab,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_fry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_fry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_garlic_parmesan_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_gassi,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_gassi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_ghee_roast,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_ghee_roast,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_ghee_roast_authentic,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_ghee_roast_authentic,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_ghee_roast_masala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_ghee_roast_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_gravy,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_handi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_hariyali,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_hariyali_kebab,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_hariyali_kebab,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_herb_cream_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_hot_and_sour,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_hot_and_sour,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_hyderabadi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_in_dijon_mustard_cream_sauce,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_in_green_thai_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_in_lemon_coriander_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_in_lemon_coriander_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_in_marinara_sauce,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_in_red_thai_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_in_white_sauce,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_jalfrezi,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_jalfrezi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kali_mirch,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kasturia_kebab,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_kasturia_kebab,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kebab,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_kebab,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kebab_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_kebab_dry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_kebab_dry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_keema_mutter,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kholaouri_semi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_khuska,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_kolhapuri,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_korma_white_gravy,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kosa,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kosha,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_kosha,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_kurma,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_lababdar,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_lahori,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_lasagna,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_malai_tikka_dry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_malai_tikka_dry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_manchow_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_manchow_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_manchurian,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_manchurian,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_manchurian_dry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_manchurian_dry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_manchurian_gravy,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_manchurian_semi,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_manchurian_semi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_marinara_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_masala_semi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_masala_semi_gravy,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_minestrone_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_minestrone_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_mint_herb_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_mulligatawny,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_mulligatawny,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_mushroom_cream_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_napoli_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_nilgiri_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_nizami,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_nizami,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_noodles_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_noodles_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_olive_tomato_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_pahadi_kebab,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_pahadi_kebab,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_pakora,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_pakora,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_paprikash,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_paprikash,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_patiyala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_patiyala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_pepper_fry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_pepper_fry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_pepper_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_peshawari,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_pho_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_pho_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_pot_pie_soup,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_pot_pie_soup,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_razala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_reshmi_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_roasted_garlic_tomato_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_rogan,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_rogan_josh,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_rustic_italian_pasta,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_saag,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_saag,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_saagwala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_saagwala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
