city,item,course_type,client,why_not
bangalore,chicken_donne_biryani,nonveg_main,"Booking.com,MOengage,Citrix",no colour-bearing word in the name
bangalore,chicken_gassi,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,chicken_ghee_roast_authentic,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_ghee_roast_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_hot_and_sour,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_jalfrezi,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_kali_mirch,nonveg_main,"Stryker,Citrix",no colour-bearing word in the name
bangalore,chicken_kebab_dry,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chicken_kosha,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_lahori,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,chicken_malai_tikka_dry,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chicken_manchow_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_minestrone_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_mulligatawny,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_noodles_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_pahadi_kebab,nonveg_main,Stryker,no colour-bearing word in the name
bangalore,chicken_paprikash,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chicken_patiyala,nonveg_main,"Booking.com,MOengage",no colour-bearing word in the name
bangalore,chicken_pepper_masala,nonveg_main,"Booking.com,Citrix",no colour-bearing word in the name
bangalore,chicken_peshawari,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,chicken_pho_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_pot_pie_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_rezalla,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_saag,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_saagwala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chicken_sausage,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_shahjahani_curry,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chicken_shorba,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_sukka,nonveg_main,"Stryker,MOengage",no colour-bearing word in the name
bangalore,chicken_sukka_dry,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chicken_tawa_masala,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chicken_tortilla_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_tukpa,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,chicken_urathiyal,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,chicken_varuval,nonveg_main,"Stryker,MOengage",no colour-bearing word in the name
bangalore,chickpea_masala,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,chickpeas_and_corn_salad,salad,Stryker,no colour-bearing word in the name
bangalore,chili_chicken,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,chilli_chicken,nonveg_main,"Stripe,MOengage",no colour-bearing word in the name
bangalore,chilli_chicken_dry,nonveg_main,"Booking.com,MOengage",no colour-bearing word in the name
bangalore,chilli_egg_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,chilli_gobi_gravy,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,chilli_mushroom_and_babycorn,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,chilli_n_garlic_chicken_curry,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,chilli_paneer_semi_gravy,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,chilli_pineapple_juice,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,chilli_potato_chinese_style,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,chinese_bhel_salad,salad,Stripe,no colour-bearing word in the name
bangalore,chocolate_ice_cream,dessert,Booking.com,no colour-bearing word in the name
bangalore,chocolate_milkshake,welcome_drink,Stryker,no colour-bearing word in the name
bangalore,chocolate_mousse,dessert,Booking.com,no colour-bearing word in the name
bangalore,chocolate_pastry,dessert,Booking.com,no colour-bearing word in the name
bangalore,chole,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,chorchori,veg_dry,Stryker,no colour-bearing word in the name
bangalore,chow_chow_moong_kootu,veg_dry,Citrix,no colour-bearing word in the name
bangalore,chow_chow_moong_poriyal,veg_dry,Citrix,no colour-bearing word in the name
bangalore,chow_chow_pasi_parapu_poriyal,veg_dry,Citrix,no colour-bearing word in the name
bangalore,chow_chow_with_chana_poriyal,veg_dry,Citrix,no colour-bearing word in the name
bangalore,chow_mein,rice,Citrix,no colour-bearing word in the name
bangalore,chum_chum,dessert,"Booking.com,Citrix",no colour-bearing word in the name
bangalore,chuteny,starter,MOengage,no colour-bearing word in the name
bangalore,cinnamon_and_celery_detox_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,classic_coleslaw,salad,Citrix,no colour-bearing word in the name
bangalore,clear_soup,soup,Booking.com,no colour-bearing word in the name
bangalore,clear_veg_soup,soup,Stripe,no colour-bearing word in the name
bangalore,cluster_beans,veg_dry,MOengage,no colour-bearing word in the name
bangalore,cluster_beans_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,coleslaw,salad,Citrix,no colour-bearing word in the name
bangalore,corn_ambode,starter,Citrix,no colour-bearing word in the name
bangalore,corn_and_spring_onion_fried_rice,rice,Citrix,no colour-bearing word in the name
bangalore,corn_bhel,starter,Citrix,no colour-bearing word in the name
bangalore,corn_capsicum_fried_rice,rice,Citrix,no colour-bearing word in the name
bangalore,corn_chaat,salad,Booking.com,no colour-bearing word in the name
bangalore,corn_cheese_tikki,starter,MOengage,no colour-bearing word in the name
bangalore,corn_fried_rice,rice,Citrix,no colour-bearing word in the name
bangalore,corn_mushroom_curry,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,corn_mushroom_handi,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,corn_mutter_curry,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,corn_pomo_salad,salad,Citrix,no colour-bearing word in the name
bangalore,couscous_and_ash_gourd_kitchadi,healthy_rice,Booking.com,no colour-bearing word in the name
bangalore,cranberry_mojito,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,cranberry_punch,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,cream_of_chicken,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,cream_of_chicken_soup,nonveg_soup,Booking.com,no colour-bearing word in the name
bangalore,cream_of_veg_soup,soup,Booking.com,no colour-bearing word in the name
bangalore,cream_of_vegetable_soup,soup,Citrix,no colour-bearing word in the name
bangalore,creamy_cucumber_salad,salad,Citrix,no colour-bearing word in the name
bangalore,creamy_lamcha,dessert,Booking.com,no colour-bearing word in the name
bangalore,crispy_peri_peri_chicken_tenders,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,crispy_potato_fry_aloo_bangaladumpa_vepudu,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,crispy_veg_with_hot_garlic_sauce,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,cryspe_veg,starter,Citrix,no colour-bearing word in the name
bangalore,cryspy_honey_glaze_potatoes,starter,Citrix,no colour-bearing word in the name
bangalore,cucumber_and_apple_infused_water,infused_water,Booking.com,no colour-bearing word in the name
