city,item,course_type,flagged_color,current_color,in_city_list,confidence,richness_score,spice_level,texture
ncr,chicken_chettined,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_fried_rice,nonveg_main,red,red,yes,0.569,5,1,crisp
ncr,chicken_home_st,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_kali_mirch,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,chicken_kalimirch,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_khusrang,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_makhni,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_malai_tikka,nonveg_main,red,red,yes,0.569,5,1,saucy
ncr,chicken_masala_home_styal,nonveg_main,red,red,yes,0.569,3,2,saucy
ncr,chicken_rara,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_roganjosh,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_sheek_taka_tak,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chicken_tariwala,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,chilly_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
ncr,cholayi_ke_laddu,dessert,brown,brown,yes,0.569,4,0,soft
ncr,corn_capcicum_mutter,veg_gravy,green,green,yes,0.569,2,1,saucy
ncr,corn_chaat,salad,green,green,yes,0.569,1,0,crisp
ncr,corn_on_the_cob,salad,green,green,yes,0.569,1,0,fresh
ncr,corn_on_the_cobe,salad,green,green,yes,0.569,1,0,fresh
ncr,corn_relish,salad,green,green,yes,0.569,1,0,fresh
ncr,cucumber_detox_water,veg_gravy,yellow,yellow,yes,0.569,1,1,fresh
ncr,cucumber_soup,soup,brown,brown,yes,0.569,1,0,saucy
ncr,double_ka_mitha,veg_gravy,brown,brown,yes,0.569,2,1,saucy
ncr,fried_aloo_gobi,veg_dry,red,red,yes,0.569,4,1,crisp
ncr,fried_arbi_do_pyaza,veg_dry,red,red,yes,0.569,4,1,crisp
ncr,fried_gobi_matar,veg_dry,red,red,yes,0.569,4,1,crisp
